date	time	relative time [s]	Cm [mg/m^3]	Cn [P/cm^3]	M1,0 [µm]	M1,0 [µm]	
07/12/2021	09:38:33	2729,91	0,034229	100,466682	0,323493	0,323493	
07/12/2021	09:38:43	2739,91	0,013792	95,401085	0,315522	0,315522	
07/12/2021	09:38:53	2749,83	0,012490	99,563423	0,318516	0,318516	
07/12/2021	09:39:03	2759,78	0,024922	101,278297	0,331093	0,331093	
07/12/2021	09:39:13	2769,94	0,013040	96,667831	0,316603	0,316603	
07/12/2021	09:39:23	2779,86	0,015300	101,194717	0,313324	0,313324	
07/12/2021	09:39:33	2789,83	0,022150	98,018288	0,335593	0,335593	
07/12/2021	09:39:43	2800,02	0,011336	105,632675	0,306586	0,306586	
07/12/2021	09:39:53	2809,95	0,018145	103,546135	0,318037	0,318037	
07/12/2021	09:40:03	2819,92	0,026584	103,818901	0,315297	0,315297	
07/12/2021	09:40:13	2829,97	0,015001	106,624779	0,315258	0,315258	
07/12/2021	09:40:23	2840,03	0,013174	103,459221	0,309101	0,309101	
07/12/2021	09:40:33	2850,02	0,047307	105,173332	0,323028	0,323028	
07/12/2021	09:40:43	2859,98	0,026084	108,523743	0,319841	0,319841	
07/12/2021	09:40:53	2869,89	0,010213	101,826736	0,317657	0,317657	
07/12/2021	09:41:03	2879,84	0,182586	96,292671	0,351608	0,351608	
07/12/2021	09:41:13	2890,02	0,017508	105,080757	0,328351	0,328351	
07/12/2021	09:41:23	2899,98	0,009348	99,381584	0,320813	0,320813	
07/12/2021	09:41:33	2909,89	0,020947	99,828781	0,334369	0,334369	
07/12/2021	09:41:43	2920,06	0,012222	103,546402	0,317326	0,317326	
07/12/2021	09:41:53	2929,98	0,017505	102,724777	0,335214	0,335214	
07/12/2021	09:42:03	2940,02	0,021991	105,626534	0,321410	0,321410	
07/12/2021	09:42:13	2949,98	0,021577	102,092949	0,330861	0,330861	
07/12/2021	09:42:23	2959,94	0,016787	106,619400	0,328442	0,328442	
07/12/2021	09:42:33	2970,11	0,026555	98,015991	0,341535	0,341535	
07/12/2021	09:42:43	2980,03	0,037063	103,088341	0,331569	0,331569	
07/12/2021	09:42:53	2989,97	0,629854	104,804527	0,343246	0,343246	
07/12/2021	09:43:03	3000,00	0,015431	106,264000	0,311930	0,311930	
07/12/2021	09:43:13	3009,97	0,012524	106,803871	0,319845	0,319845	
07/12/2021	09:43:23	3020,11	0,024630	103,457039	0,314804	0,314804	
07/12/2021	09:43:33	3030,05	0,011619	105,902664	0,310480	0,310480	
07/12/2021	09:43:43	3040,02	0,013698	111,876328	0,311425	0,311425	
07/12/2021	09:43:53	3050,06	0,020265	100,648163	0,322285	0,322285	
07/12/2021	09:44:03	3060,08	0,015804	108,160866	0,321617	0,321617	
07/12/2021	09:44:14	3070,25	0,009426	102,281845	0,310963	0,310963	
07/12/2021	09:44:23	3080,05	0,027311	105,348869	0,336440	0,336440	
07/12/2021	09:44:33	3090,00	0,016104	103,639496	0,311313	0,311313	
07/12/2021	09:44:43	3100,08	0,015599	101,552414	0,324266	0,324266	
07/12/2021	09:44:54	3110,22	0,012020	102,912392	0,318726	0,318726	
07/12/2021	09:45:04	3120,14	0,018369	112,868561	0,318798	0,318798	
07/12/2021	09:45:14	3130,19	0,015307	100,189445	0,338258	0,338258	
07/12/2021	09:45:23	3140,09	0,097129	105,075821	0,340130	0,340130	
07/12/2021	09:45:34	3150,23	0,104457	107,793365	0,334504	0,334504	
07/12/2021	09:45:43	3160,03	0,016320	108,247681	0,330537	0,330537	
07/12/2021	09:45:54	3170,17	0,009077	106,717323	0,310393	0,310393	
07/12/2021	09:46:03	3180,05	0,028183	102,904327	0,338925	0,338925	
07/12/2021	09:46:13	3190,06	0,023550	109,064743	0,324414	0,324414	
07/12/2021	09:46:24	3200,19	0,028416	109,699005	0,322691	0,322691	
07/12/2021	09:46:33	3210,12	0,015340	111,965225	0,314819	0,314819	
07/12/2021	09:46:44	3220,22	0,012727	108,705223	0,318520	0,318520	
07/12/2021	09:46:54	3230,20	0,018321	110,513229	0,323723	0,323723	
07/12/2021	09:47:04	3240,31	0,016312	110,695358	0,321046	0,321046	
07/12/2021	09:47:13	3250,09	0,054954	101,732597	0,326919	0,326919	
07/12/2021	09:47:23	3260,09	0,009295	101,375854	0,313144	0,313144	
07/12/2021	09:47:34	3270,23	0,089402	103,268661	0,333175	0,333175	
07/12/2021	09:47:44	3280,20	0,024596	99,835007	0,318568	0,318568	
07/12/2021	09:47:53	3290,11	0,039320	103,903992	0,328389	0,328389	
07/12/2021	09:48:04	3300,27	0,078174	95,662216	0,343555	0,343555	
