FIDAS®, 0.18 - 18.0 µm #1
07/12/2021 08:53:34 ___ 07/12/2021 10:07:13
1 file(s)
441  intervals of 1 s 
date beginning	time beginning	date end	time end	relative time [s]	PM1_ambient - 	PM2.5_ambient - 	PM4_ambient - 	PM10_ambient - 	
07/12/2021	09:30:04	07/12/2021	09:30:14	2190,34	6,86	13,22	20,72	28,28
07/12/2021	09:30:14	07/12/2021	09:30:24	2200,28	7,21	14,59	20,23	28,18
07/12/2021	09:30:24	07/12/2021	09:30:34	2210,19	6,97	13,48	19,50	19,26
07/12/2021	09:30:34	07/12/2021	09:30:44	2220,39	7,06	15,48	24,69	26,14
07/12/2021	09:30:44	07/12/2021	09:30:54	2230,30	7,07	16,22	27,06	31,73
07/12/2021	09:30:54	07/12/2021	09:31:04	2240,23	6,86	15,55	21,82	51,55
07/12/2021	09:31:04	07/12/2021	09:31:14	2250,37	6,63	13,49	19,76	19,51
07/12/2021	09:31:14	07/12/2021	09:31:24	2260,33	6,80	12,24	15,93	15,71
07/12/2021	09:31:24	07/12/2021	09:31:34	2270,27	6,89	13,95	21,13	22,16
07/12/2021	09:31:34	07/12/2021	09:31:44	2280,44	6,43	12,71	17,89	17,62
07/12/2021	09:31:44	07/12/2021	09:31:54	2290,37	6,49	12,79	17,85	17,68
07/12/2021	09:31:54	07/12/2021	09:32:04	2300,48	7,52	14,83	20,22	19,90
07/12/2021	09:32:04	07/12/2021	09:32:14	2310,53	7,82	14,95	19,62	19,34
07/12/2021	09:32:14	07/12/2021	09:32:24	2320,42	7,01	12,44	17,87	17,75
07/12/2021	09:32:23	07/12/2021	09:32:33	2329,50	7,30	15,39	24,44	27,38
07/12/2021	09:32:34	07/12/2021	09:32:44	2340,30	7,93	16,91	25,69	27,06
07/12/2021	09:32:44	07/12/2021	09:32:54	2350,47	7,37	13,79	19,43	20,35
07/12/2021	09:32:53	07/12/2021	09:33:03	2359,56	7,87	14,29	18,41	18,16
07/12/2021	09:33:04	07/12/2021	09:33:14	2370,52	6,47	12,44	17,62	17,43
07/12/2021	09:33:14	07/12/2021	09:33:24	2380,42	8,04	15,35	21,48	21,25
07/12/2021	09:33:24	07/12/2021	09:33:34	2390,31	6,99	13,33	19,47	21,43
07/12/2021	09:33:34	07/12/2021	09:33:44	2400,47	7,18	16,10	26,79	30,51
07/12/2021	09:33:43	07/12/2021	09:33:53	2409,55	7,52	16,52	25,48	35,55
07/12/2021	09:33:54	07/12/2021	09:34:04	2420,41	7,95	16,88	24,27	32,12
07/12/2021	09:34:03	07/12/2021	09:34:13	2429,50	7,64	15,69	25,12	28,67
07/12/2021	09:34:14	07/12/2021	09:34:24	2440,48	7,97	16,24	23,62	26,25
07/12/2021	09:34:23	07/12/2021	09:34:33	2449,52	7,59	13,71	18,93	18,90
