date beginning,time beginning,time end,PM1_ambient - ,PM2.5_ambient - ,PM4_ambient - ,PM10_ambient - ,Cm [mg/m^3],Cn [P/cm^3],"M1,0 [µm]","M1,0 [µm].1",T [°C),HR [%).,Pression [mBar),Vit. Vent [m/s),Dir. Vent [°),Lumi [W/m²),Elev.,Lat.,Lon.,trajet
07/12/2021,09:04:04,09:04:14,"6,35","13,41","19,68","19,39","0,019451","77,561935","0,342017","0,342017","8,4","96,2","1006,8","0,22",350.0,598,,,,Erdre_aller_0712
07/12/2021,09:04:14,09:04:24,"12,36","20,06","27,39","28,00","0,012869","78,828026","0,345616","0,345616","8,4","96,3","1006,8","0,72",60.0,"597,6",80.0,47.23339095711708,-1.548722656443715,Erdre_aller_0712
07/12/2021,09:04:24,09:04:34,"16,87","25,78","34,72","34,47","0,018592","288,069153","0,265470","0,265470","8,4","96,3","1006,8","0,9",327.0,"597,4",,,,Erdre_aller_0712
07/12/2021,09:04:34,09:04:44,"22,04","29,99","38,17","37,83","0,020805","534,716125","0,245685","0,245685","8,4","96,3","1006,7","0,53",290.0,"597,4",,,,Erdre_aller_0712
07/12/2021,09:04:44,09:04:54,"8,81","15,64","19,65","40,72","0,021278","743,513611","0,239613","0,239613","8,4","96,3","1006,6","0,59",267.0,"597,6",46.0,47.23378343973309,-1.548935221508145,Erdre_aller_0712
07/12/2021,09:04:54,09:05:04,"6,88","12,19","16,28","16,23","0,114407","204,051834","0,271269","0,271269","8,4","96,3","1006,6","0,37",331.0,"597,4",55.0,47.233932805247605,-1.5488719381392002,Erdre_aller_0712
07/12/2021,09:05:04,09:05:14,"7,19","15,13","22,53","25,24","0,010393","100,653526","0,308302","0,308302","8,4","96,3","1006,5","0,32",183.0,"597,6",,,,Erdre_aller_0712
07/12/2021,09:05:14,09:05:24,"21,16","28,87","38,83","39,03","0,021710","89,145012","0,345898","0,345898","8,4","96,3","1006,5","1,26",336.0,"597,5",,,,Erdre_aller_0712
07/12/2021,09:05:24,09:05:34,"12,35","19,18","28,40","30,53","0,023571","549,448364","0,257537","0,257537","8,4","96,3","1006,4","0,39",295.0,"597,1",,,,Erdre_aller_0712
07/12/2021,09:05:34,09:05:44,"7,53","16,94","28,05","41,07","0,023131","271,585327","0,272403","0,272403","8,4","96,3","1006,4","1,4",240.0,597,,,,Erdre_aller_0712
07/12/2021,09:05:44,09:05:54,"7,58","16,74","27,30","27,79","0,059139","139,576401","0,306703","0,306703","8,4","96,2","1006,4","1,24",310.0,"597,1",,,,Erdre_aller_0712
07/12/2021,09:05:54,09:06:04,"7,25","13,93","20,36","20,49","0,021309","116,578011","0,322425","0,322425","8,4","96,3","1006,4","1,57",322.0,"597,1",,,,Erdre_aller_0712
07/12/2021,09:06:04,09:06:14,"5,55","12,15","20,18","21,53","0,014209","104,903358","0,319025","0,319025","8,4","96,2","1006,3","0,55",324.0,"597,5",,,,Erdre_aller_0712
07/12/2021,09:06:14,09:06:24,"6,96","14,70","21,94","21,54","0,017779","83,087883","0,325812","0,325812","8,4","96,2","1006,2","1,43",331.0,"597,6",,,,Erdre_aller_0712
07/12/2021,09:06:24,09:06:34,"6,23","13,24","19,96","19,86","0,014732","88,603134","0,342807","0,342807","8,4","96,3","1006,1","1,38",332.0,"597,1",,,,Erdre_aller_0712
07/12/2021,09:06:34,09:06:44,"7,18","14,89","23,40","23,34","0,013890","84,985428","0,335075","0,335075","8,4","96,3","1006,1","1,16",10.0,597,,,,Erdre_aller_0712
07/12/2021,09:06:44,09:06:54,"6,57","11,51","15,63","16,26","0,016890","93,582932","0,337687","0,337687","8,4","96,3",1006,"0,47",195.0,"596,8",,,,Erdre_aller_0712
07/12/2021,09:06:54,09:07:04,"6,45","11,49","15,16","14,96","0,011319","93,772797","0,312868","0,312868","8,4","96,3","1005,9","0,67",171.0,"596,9",,,,Erdre_aller_0712
07/12/2021,09:07:04,09:07:14,"6,53","14,41","24,87","34,92","0,009191","81,729721","0,327363","0,327363","8,4","96,3","1005,9","0,1",164.0,"596,9",,,,Erdre_aller_0712
07/12/2021,09:07:14,09:07:24,"6,27","13,88","21,48","21,94","0,040907","84,528053","0,350371","0,350371","8,5","96,3","1005,9","0,16",320.0,"596,8",,,,Erdre_aller_0712
07/12/2021,09:07:24,09:07:34,"5,93","11,95","17,90","17,76","0,016384","84,260445","0,338049","0,338049","8,5","96,3","1005,9","1,55",303.0,"596,9",,,,Erdre_aller_0712
07/12/2021,09:07:34,09:07:44,"6,81","13,90","19,66","20,17","0,012531","78,560722","0,331590","0,331590","8,5","96,3","1005,9","0,61",283.0,"596,9",,,,Erdre_aller_0712
07/12/2021,09:07:44,09:07:54,"6,35","12,77","19,18","19,41","0,014492","80,999466","0,347297","0,347297","8,5","96,3","1005,9","0,91",350.0,"596,6",,,,Erdre_aller_0712
07/12/2021,09:07:54,09:08:04,"6,34","13,22","20,25","22,56","0,014167","81,183716","0,336759","0,336759","8,5","96,3","1005,9","0,52",224.0,"596,4",,,,Erdre_aller_0712
07/12/2021,09:08:04,09:08:14,"6,69","13,32","19,39","28,26","0,019103","81,454063","0,340671","0,340671","8,5","96,3",1006,"0,09",212.0,"596,3",,,,Erdre_aller_0712
07/12/2021,09:08:14,09:08:24,"6,03","11,76","16,52","24,74","0,032413","82,901115","0,343885","0,343885","8,5","96,2",1006,"0,55",46.0,"596,9",,,,Erdre_aller_0712
07/12/2021,09:08:24,09:08:34,"5,65","9,20","10,75","10,67","0,029990","81,819489","0,329919","0,329919","8,5","96,2",1006,"0,36",118.0,"597,2",,,,Erdre_aller_0712
07/12/2021,09:08:33,09:08:43,"6,52","12,67","16,48","16,25","0,005966","71,685440","0,319289","0,319289","8,5","96,2",1006,"0,87",353.0,"596,3",,,,Erdre_aller_0712
07/12/2021,09:08:44,09:08:54,"6,91","13,84","19,81","19,47","0,009899","82,994896","0,333228","0,333228","8,5","96,2",1006,"0,5",5.0,"596,3",,,,Erdre_aller_0712
07/12/2021,09:08:53,09:09:03,"6,83","14,47","24,67","27,47","0,013063","82,085670","0,347078","0,347078","8,5","96,2",1006,"0,6",38.0,"596,3",,,,Erdre_aller_0712
07/12/2021,09:09:04,09:09:14,"6,97","14,21","18,55","40,29","0,024391","85,614868","0,347970","0,347970","8,5","96,2",1006,"1,13",357.0,"596,3",,,,Erdre_aller_0712
07/12/2021,09:09:31,09:09:41,"6,53","12,96","19,71","22,32","0,115960","81,902115","0,354692","0,354692","8,5","96,1",1006,"0,66",148.0,"595,5",,,,Erdre_aller_0712
07/12/2021,09:09:32,09:09:42,"6,08","12,31","18,30","19,67","0,019361","85,891632","0,332228","0,332228","8,5","96,1",1006,"1,27",144.0,"596,8",,,,Erdre_aller_0712
07/12/2021,09:09:34,09:09:44,"6,17","12,27","18,66","20,03","0,015705","85,532059","0,324914","0,324914","8,5","96,1",1006,1,157.0,"596,5",,,,Erdre_aller_0712
07/12/2021,09:09:44,09:09:54,"7,10","14,95","22,10","30,13","0,016171","88,972748","0,320968","0,320968","8,5","96,1",1006,"0,56",55.0,"596,6",68.0,47.23659183830023,-1.5504683554172516,Erdre_aller_0712
07/12/2021,09:09:53,09:10:03,"6,63","13,89","22,01","27,33","0,033892","91,862221","0,340309","0,340309","8,5","96,1",1006,"0,3",147.0,596,,,,Erdre_aller_0712
07/12/2021,09:10:03,09:10:13,"6,55","14,48","25,02","25,05","0,027755","88,696205","0,335335","0,335335","8,5","96,1",1006,"0,51",31.0,"595,8",,,,Erdre_aller_0712
07/12/2021,09:10:13,09:10:23,"6,78","13,62","20,98","23,68","0,019339","89,600845","0,336719","0,336719","8,5","96,1",1006,"0,6",63.0,"596,3",56.0,47.23700594622642,-1.5508524980396032,Erdre_aller_0712
07/12/2021,09:10:23,09:10:33,"6,38","14,89","21,97","33,23","0,020479","88,424278","0,336116","0,336116","8,5","96,1",1006,"0,32",120.0,"595,9",57.0,47.23710170947015,-1.5509346406906843,Erdre_aller_0712
07/12/2021,09:10:34,09:10:44,"6,89","13,91","18,46","26,67","0,050176","89,146370","0,342322","0,342322","8,5","96,1",1006,"0,36",167.0,"596,3",58.0,47.23712790291757,-1.5511027816683054,Erdre_aller_0712
07/12/2021,09:10:44,09:10:54,"6,22","12,92","20,95","22,01","0,030570","90,869270","0,332884","0,332884","8,5","96,1",1006,"0,45",204.0,"596,2",,,,Erdre_aller_0712
07/12/2021,09:10:53,09:11:03,"6,40","11,69","17,16","18,25","0,017485","89,061554","0,326071","0,326071","8,5",96,1006,"0,21",2.0,"595,8",,,,Erdre_aller_0712
07/12/2021,09:11:03,09:11:13,"6,65","14,14","24,04","25,24","0,013911","89,787613","0,320147","0,320147","8,5",96,1006,"0,36",44.0,"595,7",,,,Erdre_aller_0712
07/12/2021,09:11:14,09:11:24,"6,40","15,40","26,82","32,75","0,020852","96,754768","0,325939","0,325939","8,5",96,"1005,9","0,8",236.0,"595,6",,,,Erdre_aller_0712
07/12/2021,09:11:23,09:11:33,"6,80","15,62","26,13","29,66","0,033220","94,940338","0,337436","0,337436","8,5","95,9","1005,9","0,78",178.0,"596,2",,,,Erdre_aller_0712
07/12/2021,09:11:33,09:11:43,"6,62","13,42","20,64","20,36","0,027006","92,675545","0,343095","0,343095","8,5","95,9",1006,"0,57",168.0,"595,8",,,,Erdre_aller_0712
07/12/2021,09:11:43,09:11:53,"7,42","16,57","26,95","33,46","0,014164","98,386436","0,319688","0,319688","8,5","95,9",1006,"0,4",16.0,"595,7",,,,Erdre_aller_0712
07/12/2021,09:11:53,09:12:03,"6,90","14,29","20,87","35,47","0,034295","92,943779","0,352841","0,352841","8,5","95,9","1005,9","0,46",336.0,"595,7",,,,Erdre_aller_0712
07/12/2021,09:12:03,09:12:13,"7,30","13,74","19,40","23,43","0,050607","99,830925","0,329158","0,329158","8,5","95,9",1006,"0,51",309.0,"597,5",,,,Erdre_aller_0712
