
**********************************************************
Termite log, started at Tue Jan 25 09:56:51 2022
**********************************************************
02:19: Q,064,000.17,1029.2,096.0,-000.1,-000.6,,X,+0018.7,0000.000,+11.7,00,28
Q,020,000.36,1029.2,096.0,-000.1,-000.6,,X,+0018.8,0000.000,+11.7,00,24
02:21: Q,009,000.39,1029.2,096.0,-000.1,-000.6,,X,+0018.9,0000.000,+11.7,00,21
Q,001,000.24,1029.2,096.0,-000.1,-000.6,,X,+0018.9,0000.000,+11.7,00,25
02:24: Q,325,000.26,1029.2,095.9,-000.1,-000.6,,X,+0018.9,0000.000,+11.7,00,28
Q,301,000.29,1029.2,095.9,-000.1,-000.6,,X,+0018.8,0000.000,+11.7,00,20
02:26: Q,306,000.52,1029.2,095.9,-000.1,-000.6,,X,+0018.9,0000.000,+11.7,00,2A
Q,309,000.58,1029.2,095.9,-000.1,-000.6,,X,+0018.9,0000.000,+11.7,00,2F
02:27: Q,318,000.42,1029.2,095.9,-000.1,-000.6,,X,+0018.9,0000.000,+11.7,00,24
Q,330,000.52,1029.2,095.9,-000.1,-000.6,,X,+0018.7,0000.000,+11.7,00,21
02:29: Q,315,000.41,1029.2,095.9,-000.1,-000.6,,X,+0018.6,0000.000,+11.7,00,25
02:31: Q,292,000.38,1029.2,095.9,+000.0,-000.6,,X,+0018.7,0000.000,+11.7,00,23
Q,290,000.45,1029.2,095.9,+000.0,-000.6,,X,+0018.8,0000.000,+11.7,00,24
02:32: Q,279,000.34,1029.2,095.9,+000.0,-000.6,,X,+0018.7,0000.000,+11.7,00,2A
Q,289,000.63,1029.2,095.9,+000.0,-000.6,,X,+0018.8,0000.000,+11.7,00,28
02:34: Q,262,000.45,1029.2,095.9,+000.0,-000.6,,X,+0018.8,0000.000,+11.7,00,29
Q,292,000.46,1029.2,095.9,+000.0,-000.6,,X,+0018.9,0000.000,+11.7,00,24
02:37: Q,291,000.50,1029.2,095.9,+000.0,-000.6,,X,+0018.8,0000.000,+11.7,00,21
Q,301,000.49,1029.2,095.9,+000.0,-000.6,,X,+0018.8,0000.000,+11.7,00,21
02:38: Q,314,000.34,1029.2,095.8,-000.1,-000.6,,X,+0018.9,0000.000,+11.6,00,29
Q,340,000.17,1029.2,095.8,-000.1,-000.6,,X,+0018.7,0000.000,+11.7,00,26
02:40: Q,339,000.30,1029.2,095.8,-000.1,-000.6,,X,+0018.6,0000.000,+11.6,00,2D
Q,356,000.36,1029.2,095.8,+000.0,-000.6,,X,+0018.6,0000.000,+11.6,00,25
02:43: Q,351,000.15,1029.2,095.8,+000.0,-000.6,,X,+0018.6,0000.000,+11.6,00,23
Q,028,000.14,1029.2,095.8,+000.0,-000.6,,X,+0018.7,0000.000,+11.6,00,2E
02:45: Q,338,000.09,1029.2,095.8,-000.1,-000.6,,X,+0018.8,0000.000,+11.6,00,28
Q,036,000.13,1029.2,095.8,-000.1,-000.6,,X,+0018.8,0000.000,+11.6,00,2E
02:46: Q,165,000.13,1029.2,095.8,-000.1,-000.6,,X,+0018.8,0000.000,+11.6,00,29
Q,096,000.16,1029.2,095.8,-000.1,-000.7,,X,+0018.8,0000.000,+11.7,00,21
02:48: Q,343,000.18,1029.2,095.8,-000.1,-000.7,,X,+0018.5,0000.000,+11.6,00,28
02:50: Q,320,000.12,1029.2,095.8,-000.1,-000.7,,X,+0018.5,0000.000,+11.7,00,26
Q,017,000.13,1029.2,095.8,-000.1,-000.6,,X,+0018.5,0000.000,+11.6,00,20
02:51: Q,019,000.20,1029.2,095.7,-000.1,-000.6,,X,+0018.3,0000.000,+11.6,00,27
Q,305,000.14,1029.2,095.7,-000.1,-000.6,,X,+0018.5,0000.000,+11.7,00,29
02:53: Q,310,000.21,1029.2,095.7,+000.0,-000.6,,X,+0018.5,0000.000,+11.6,00,2D
Q,332,000.20,1029.2,095.7,+000.0,-000.6,,X,+0018.5,0000.000,+11.6,00,2C
02:56: Q,337,000.15,1029.2,095.7,-000.1,-000.7,,X,+0018.5,0000.000,+11.6,00,29
Q,303,000.13,1029.2,095.7,-000.1,-000.7,,X,+0018.5,0000.000,+11.6,00,28
02:57: Q,304,000.12,1029.2,095.7,-000.1,-000.7,,X,+0018.5,0000.000,+11.6,00,2E
Q,357,000.11,1029.2,095.7,-000.1,-000.7,,X,+0018.6,0000.000,+11.6,00,28
02:59: Q,344,000.22,1029.2,095.7,-000.1,-000.7,,X,+0018.6,0000.000,+11.6,00,2A
