*
08/11/2021 08:22:32 ___ 08/11/2021 11:13:51
1 file(s)
9999  intervals of 1 s 
date beginning	time beginning	date end	time end	relative time [s]	PMtotal_classic - 	PM1_classic - 	PM2.5_classic - 	PM4_classic - 	
08/11/2021	08:25:53	08/11/2021	08:25:54	200,56	0,38	0,38	0,38	0,38
08/11/2021	08:25:54	08/11/2021	08:25:55	201,58	0,35	0,35	0,35	0,35
08/11/2021	08:25:55	08/11/2021	08:25:56	202,56	0,27	0,27	0,27	0,27
08/11/2021	08:25:56	08/11/2021	08:25:57	203,56	0,22	0,22	0,22	0,22
08/11/2021	08:25:57	08/11/2021	08:25:58	204,56	0,20	0,20	0,20	0,20
08/11/2021	08:25:58	08/11/2021	08:25:59	205,56	0,26	0,26	0,26	0,26
08/11/2021	08:25:59	08/11/2021	08:26:00	206,55	0,81	0,62	0,81	0,81
08/11/2021	08:26:00	08/11/2021	08:26:01	207,53	2,04	0,89	1,99	2,04
08/11/2021	08:26:01	08/11/2021	08:26:02	208,55	0,33	0,33	0,33	0,33
08/11/2021	08:26:02	08/11/2021	08:26:03	209,53	0,35	0,35	0,35	0,35
08/11/2021	08:26:03	08/11/2021	08:26:04	210,53	0,29	0,29	0,29	0,29
08/11/2021	08:26:04	08/11/2021	08:26:05	211,52	0,17	0,17	0,17	0,17
08/11/2021	08:26:05	08/11/2021	08:26:06	212,55	0,46	0,44	0,46	0,46
08/11/2021	08:26:06	08/11/2021	08:26:07	213,52	0,19	0,19	0,19	0,19
08/11/2021	08:26:07	08/11/2021	08:26:08	214,52	0,12	0,12	0,12	0,12
08/11/2021	08:26:08	08/11/2021	08:26:09	215,52	0,40	0,40	0,40	0,40
08/11/2021	08:26:09	08/11/2021	08:26:10	216,50	0,70	0,57	0,70	0,70
08/11/2021	08:26:10	08/11/2021	08:26:11	217,48	1,02	0,63	1,02	1,02
08/11/2021	08:26:11	08/11/2021	08:26:12	218,48	0,43	0,42	0,43	0,43
08/11/2021	08:26:12	08/11/2021	08:26:13	219,48	0,30	0,30	0,30	0,30
08/11/2021	08:26:13	08/11/2021	08:26:14	220,48	1,10	0,89	1,10	1,10
08/11/2021	08:26:14	08/11/2021	08:26:15	221,47	0,45	0,43	0,45	0,45
08/11/2021	08:26:15	08/11/2021	08:26:16	222,47	0,14	0,14	0,14	0,14
08/11/2021	08:26:16	08/11/2021	08:26:17	223,45	0,45	0,43	0,45	0,45
08/11/2021	08:26:17	08/11/2021	08:26:18	224,47	6,92	0,34	5,48	6,85
08/11/2021	08:26:18	08/11/2021	08:26:19	225,45	0,32	0,32	0,32	0,32
08/11/2021	08:26:19	08/11/2021	08:26:20	226,45	5,02	0,61	4,53	5,02
08/11/2021	08:26:20	08/11/2021	08:26:21	227,47	4,57	0,29	4,09	4,57
08/11/2021	08:26:21	08/11/2021	08:26:22	228,44	0,56	0,56	0,56	0,56
08/11/2021	08:26:22	08/11/2021	08:26:23	229,44	0,24	0,24	0,24	0,24
08/11/2021	08:26:23	08/11/2021	08:26:24	230,45	0,23	0,23	0,23	0,23
08/11/2021	08:26:24	08/11/2021	08:26:25	231,42	0,14	0,14	0,14	0,14
08/11/2021	08:26:25	08/11/2021	08:26:26	232,42	0,15	0,15	0,15	0,15
08/11/2021	08:26:26	08/11/2021	08:26:27	233,44	0,75	0,60	0,75	0,75
08/11/2021	08:26:27	08/11/2021	08:26:28	234,42	1,16	0,97	1,16	1,16
08/11/2021	08:26:28	08/11/2021	08:26:29	235,41	0,85	0,58	0,85	0,85
08/11/2021	08:26:29	08/11/2021	08:26:30	236,42	1,54	0,54	1,50	1,54
08/11/2021	08:26:30	08/11/2021	08:26:31	237,41	1,84	0,64	1,78	1,84
08/11/2021	08:26:31	08/11/2021	08:26:32	238,41	0,16	0,16	0,16	0,16
08/11/2021	08:26:32	08/11/2021	08:26:33	239,41	0,10	0,10	0,10	0,10
08/11/2021	08:26:33	08/11/2021	08:26:34	240,41	0,34	0,33	0,34	0,34
08/11/2021	08:26:34	08/11/2021	08:26:35	241,39	0,79	0,68	0,79	0,79
08/11/2021	08:26:35	08/11/2021	08:26:36	242,39	0,31	0,31	0,31	0,31
08/11/2021	08:26:36	08/11/2021	08:26:37	243,39	1,45	0,65	1,42	1,45
08/11/2021	08:26:37	08/11/2021	08:26:38	244,37	0,47	0,46	0,47	0,47
08/11/2021	08:26:38	08/11/2021	08:26:39	245,39	0,90	0,80	0,90	0,90
08/11/2021	08:26:39	08/11/2021	08:26:40	246,37	0,44	0,39	0,44	0,44
08/11/2021	08:26:40	08/11/2021	08:26:41	247,36	0,32	0,32	0,32	0,32
08/11/2021	08:26:41	08/11/2021	08:26:42	248,34	0,30	0,30	0,30	0,30
08/11/2021	08:26:42	08/11/2021	08:26:43	249,37	0,99	0,60	0,98	0,99
08/11/2021	08:26:43	08/11/2021	08:26:44	250,34	0,46	0,46	0,46	0,46
08/11/2021	08:26:44	08/11/2021	08:26:45	251,33	0,42	0,41	0,42	0,42
08/11/2021	08:26:45	08/11/2021	08:26:46	252,33	0,11	0,11	0,11	0,11
08/11/2021	08:26:46	08/11/2021	08:26:47	253,33	0,26	0,26	0,26	0,26
08/11/2021	08:26:47	08/11/2021	08:26:48	254,33	0,25	0,25	0,25	0,25
08/11/2021	08:26:48	08/11/2021	08:26:49	255,34	0,36	0,36	0,36	0,36
